checking_acc_status,duration,cred_hist,purpose,loan_amt,saving_acc_bonds,present_employment_since,installment_rate,personal_stat_gender,other_debtors_guarantors,present_residence_since,property,age,other_installment_plans,housing,num_curr_loans,job,num_people_provide_maint,telephone,is_foreign_worker,target
below_0,6,risky_acc_or_curr_loan_other,radio_tv,1169.0,unknown_no_saving_acc,above_7y,4,male:single,none,4,real_estate,67.0,none,own,2,skilled_official,1,yes,yes,good
below_200,48,curr_loans_paid_duly,radio_tv,5951.0,below_100,below_4y,2,female:divorced_or_married,none,2,real_estate,22.0,none,own,1,skilled_official,1,no,yes,bad
no_cheking_acc,12,risky_acc_or_curr_loan_other,education,2096.0,below_100,below_7y,2,male:single,none,3,real_estate,49.0,none,own,1,unskilled_resident,2,no,yes,good
below_0,42,curr_loans_paid_duly,furniture_equipment,7882.0,below_100,below_7y,2,male:single,guarantor,4,life_insurance_or_aggreements,45.0,none,for_free,1,skilled_official,2,no,yes,good
below_0,24,delay_in_past,car_new,4870.0,below_100,below_4y,3,male:single,none,4,unknown_or_no_property,53.0,none,for_free,2,skilled_official,2,no,yes,bad
no_cheking_acc,36,curr_loans_paid_duly,education,9055.0,unknown_no_saving_acc,below_4y,2,Male Single,none,4,unknown_or_no_property,35.0,none,for_free,1,unskilled_resident,2,yes,yes,good
no_cheking_acc,24,curr_loans_paid_duly,furniture_equipment,2835.0,below_1000,above_7y,3,male:single,none,4,life_insurance_or_aggreements,53.0,none,own,1,skilled_official,1,no,yes,good
below_200,36,curr_loans_paid_duly,car_used,6948.0,below_100,below_4y,2,male:single,none,2,car_or_other,35.0,none,rent,1,management_or_self_emp,1,yes,yes,good
no_cheking_acc,12,curr_loans_paid_duly,radio_tv,3059.0,above_1000,below_7y,2,male:divorced,none,4,real_estate,61.0,none,own,1,unskilled_resident,1,no,yes,good
below_200,30,risky_acc_or_curr_loan_other,car_new,5234.0,below_100,unemployed,4,male:married_or_widowed,none,2,car_or_other,28.0,none,own,2,management_or_self_emp,1,no,yes,bad
below_200,12,curr_loans_paid_duly,car_new,1295.0,below_100,below_1y,3,female:divorced_or_married,none,1,car_or_other,25.0,none,rent,1,skilled_official,1,no,yes,bad
below_0,48,curr_loans_paid_duly,business,4308.0,below_100,below_1y,3,female:divorced_or_married,none,4,life_insurance_or_aggreements,24.0,none,rent,1,skilled_official,1,no,yes,bad
below_200,12,curr_loans_paid_duly,radio_tv,1567.0,below_100,below_4y,1,female:divorced_or_married,none,1,car_or_other,22.0,none,own,1,skilled_official,1,yes,yes,good
below_0,24,risky_acc_or_curr_loan_other,car_new,1199.0,below_100,above_7y,4,male:single,none,4,car_or_other,60.0,none,own,2,unskilled_resident,1,no,yes,bad
below_0,15,curr_loans_paid_duly,car_new,1403.0,below_100,below_4y,2,female:divorced_or_married,none,4,car_or_other,28.0,none,rent,1,skilled_official,1,no,yes,good
below_0,24,curr_loans_paid_duly,radio_tv,1282.0,below_500,below_4y,4,m_single,none,2,car_or_other,32.0,none,own,1,unskilled_resident,1,no,yes,bad
no_cheking_acc,24,risky_acc_or_curr_loan_other,radio_tv,2424.0,unknown_no_saving_acc,above_7y,4,male:single,none,4,life_insurance_or_aggreements,53.0,none,own,2,skilled_official,1,no,yes,good
below_0,30,no_loan_or_paid_duly_other,business,8072.0,unknown_no_saving_acc,below_1y,2,male:single,none,3,car_or_other,25.0,bank,own,3,skilled_official,1,no,yes,good
below_200,24,curr_loans_paid_duly,car_used,12579.0,below_100,above_7y,4,female:divorced_or_married,none,2,unknown_or_no_property,44.0,none,for_free,1,management_or_self_emp,1,yes,yes,bad
no_cheking_acc,24,curr_loans_paid_duly,radio_tv,3430.0,below_1000,above_7y,3,male:single,none,2,car_or_other,31.0,none,own,1,skilled_official,2,yes,yes,good
no_cheking_acc,9,risky_acc_or_curr_loan_other,car_new,2134.0,below_100,below_4y,4,male:single,none,4,car_or_other,48.0,none,own,3,skilled_official,1,yes,yes,good
below_0,6,curr_loans_paid_duly,radio_tv,2647.0,below_1000,below_4y,2,male:single,none,3,real_estate,44.0,none,rent,1,skilled_official,2,no,yes,good
below_0,10,risky_acc_or_curr_loan_other,car_new,2241.0,below_100,below_1y,1,male:single,none,3,real_estate,48.0,none,rent,2,unskilled_resident,2,no,no,good
below_200,12,risky_acc_or_curr_loan_other,car_used,1804.0,below_500,below_1y,3,male:single,none,4,life_insurance_or_aggreements,44.0,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,10,risky_acc_or_curr_loan_other,furniture_equipment,2069.0,unknown_no_saving_acc,below_4y,2,male:married_or_widowed,none,1,car_or_other,26.0,none,own,2,skilled_official,1,no,no,good
below_0,6,curr_loans_paid_duly,furniture_equipment,1374.0,below_100,below_4y,1,male:single,none,2,real_estate,36.0,bank,Own ,1,unskilled_resident,1,yes,yes,good
no_cheking_acc,6,no_loan_or_paid_duly_other,radio_tv,426.0,below_100,above_7y,4,male:married_or_widowed,none,4,car_or_other,39.0,none,own,1,unskilled_resident,1,no,yes,good
above:200,12,paid_duly_this_bank,radio_tv,409.0,above_1000,below_4y,3,female:divorced_or_married,none,3,real_estate,42.0,none,rent,2,skilled_official,1,no,yes,good
below_200,7,curr_loans_paid_duly,radio_tv,2415.0,below_100,below_4y,3,male:single,guarantor,2,real_estate,34.0,none,own,1,skilled_official,1,no,yes,good
below_0,60,delay_in_past,business,6836.0,below_100,above_7y,3,male:single,none,4,unknown_or_no_property,63.0,none,own,2,skilled_official,1,yes,yes,bad
below_200,18,curr_loans_paid_duly,business,1913.0,above_1000,below_1y,3,male:married_or_widowed,none,3,real_estate,36.0,bank,own,1,skilled_official,1,yes,yes,good
below_0,24,curr_loans_paid_duly,furniture_equipment,4020.0,below_100,below_4y,2,male:single,none,2,car_or_other,27.0,store,own,1,skilled_official,1,no,yes,good
below_200,18,curr_loans_paid_duly,car_new,5866.0,below_500,below_4y,2,male:single,none,2,car_or_other,30.0,none,own,2,skilled_official,1,yes,yes,good
no_cheking_acc,12,risky_acc_or_curr_loan_other,business,1264.0,unknown_no_saving_acc,above_7y,4,male:single,none,4,unknown_or_no_property,57.0,none,rent,1,unskilled_resident,1,no,yes,good
